time,有色金属I,煤炭I,银行I,钢铁I,国防军工I,家用电器I,公用事业I,通信I,农林牧渔I,食品饮料I,计算机I,机械设备I,美容护理I,环保I,交通运输I,建筑材料I,石油石化I,纺织服装I,房地产I,传媒I,商业贸易I,综合I,汽车I,轻工制造I,建筑装饰I,电子I,非银金融I,化工I,休闲服务I,医药生物I,电气设备I,sum,aver
2025-05-29,43.28358208955224,72.97297297297297,73.80952380952381,40.90909090909091,50.72463768115942,53.68421052631579,56.48854961832061,59.05511811023622,54.36893203883495,74.79674796747967,60.11904761904762,59.847036328871894,67.74193548387096,88.7218045112782,72.58064516129032,61.971830985915496,70.83333333333333,82.6923076923077,44.11764705882353,70.0,55.55555555555556,68.42105263157895,65.29850746268657,71.89542483660131,64.74358974358974,49.780701754385966,38.55421686746988,59.09090909090909,57.89473684210526,85.38135593220339,53.714285714285715,62.22739646224507,62.10670314637483
2025-05-28,38.80597014925373,62.16216216216216,80.95238095238095,31.818181818181817,36.231884057971016,44.21052631578947,47.32824427480916,40.94488188976378,52.42718446601942,77.23577235772358,27.976190476190474,46.653919694072655,74.19354838709677,76.69172932330827,64.51612903225806,46.478873239436616,64.58333333333333,74.03846153846153,35.294117647058826,46.15384615384615,43.43434343434343,52.63157894736842,50.74626865671642,66.66666666666667,48.07692307692308,26.31578947368421,14.457831325301205,51.26262626262626,34.21052631578947,66.10169491525424,40.857142857142854,50.43415255486884,47.684189955051785
2025-05-27,44.02985074626866,51.351351351351354,85.71428571428571,47.72727272727273,47.82608695652174,51.578947368421055,54.961832061068705,45.669291338582674,61.16504854368932,78.04878048780488,30.654761904761905,49.90439770554493,74.19354838709677,73.6842105263158,55.645161290322584,52.11267605633803,64.58333333333333,78.84615384615384,37.254901960784316,55.38461538461539,39.39393939393939,63.1578947368421,56.343283582089555,71.89542483660131,56.41025641025641,32.23684210526316,24.096385542168676,64.8989898989899,42.10526315789474,74.15254237288136,47.42857142857143,55.24051294051715,53.253859683408244
2025-05-26,61.940298507462686,51.351351351351354,88.0952380952381,50.0,51.44927536231884,58.94736842105263,45.038167938931295,54.330708661417326,47.57281553398058,61.78861788617886,37.79761904761905,56.21414913957935,74.19354838709677,69.17293233082707,58.87096774193548,52.11267605633803,56.25,70.1923076923077,29.41176470588235,60.76923076923077,36.36363636363637,52.63157894736842,64.55223880597015,75.16339869281046,55.76923076923077,40.57017543859649,22.89156626506024,57.82828282828283,35.526315789473685,65.88983050847457,49.42857142857143,54.584318176329795,53.976939613054526
2025-05-23,58.208955223880594,56.75675675675676,88.0952380952381,31.818181818181817,41.30434782608695,54.73684210526316,35.87786259541985,27.559055118110237,38.83495145631068,44.71544715447155,22.916666666666668,45.506692160611856,80.64516129032258,53.38345864661654,46.774193548387096,38.028169014084504,45.833333333333336,69.23076923076923,22.54901960784314,32.30769230769231,28.282828282828284,52.63157894736842,63.80597014925373,66.01307189542484,46.15384615384615,28.50877192982456,22.89156626506024,58.333333333333336,22.36842105263158,74.78813559322033,39.714285714285715,46.405632363649175,46.179401993355484
2025-05-22,63.43283582089552,81.08108108108108,95.23809523809524,54.54545454545455,57.971014492753625,70.52631578947368,58.01526717557252,55.90551181102362,54.36893203883495,64.22764227642277,41.964285714285715,60.4206500956023,93.54838709677419,72.93233082706767,71.7741935483871,63.38028169014085,64.58333333333333,85.57692307692308,39.21568627450981,61.53846153846154,48.484848484848484,68.42105263157895,75.74626865671642,76.47058823529412,64.1025641025641,46.92982456140351,46.98795180722892,58.08080808080808,31.57894736842105,73.09322033898304,62.0,63.29492766880452,60.895055696697284
2025-05-21,82.08955223880596,91.89189189189189,92.85714285714286,70.45454545454545,65.94202898550725,87.36842105263158,83.96946564885496,64.56692913385827,74.75728155339806,78.04878048780488,57.73809523809524,75.33460803059273,96.7741935483871,90.22556390977444,83.06451612903226,80.28169014084507,87.5,89.42307692307692,55.88235294117647,77.6923076923077,67.67676767676768,78.94736842105263,88.05970149253731,85.62091503267973,84.61538461538461,58.771929824561404,74.6987951807229,77.52525252525253,51.31578947368421,84.95762711864407,80.85714285714286,78.02932638955352,75.94293531366034
2025-05-20,71.64179104477611,78.37837837837837,90.47619047619048,72.72727272727273,73.91304347826087,91.57894736842105,83.96946564885496,79.5275590551181,77.66990291262135,81.30081300813008,67.26190476190476,84.1300191204589,96.7741935483871,93.23308270676692,83.87096774193549,77.46478873239437,85.41666666666667,91.34615384615384,63.72549019607843,85.38461538461539,79.79797979797979,78.94736842105263,88.80597014925372,86.9281045751634,87.82051282051282,67.98245614035088,81.92771084337349,83.83838383838383,63.1578947368421,84.7457627118644,84.85714285714286,81.24517850630018,80.59409810435803
2025-05-19,73.13432835820896,78.37837837837837,92.85714285714286,79.54545454545455,75.3623188405797,89.47368421052632,70.22900763358778,76.37795275590551,69.90291262135922,65.04065040650407,62.79761904761905,80.68833652007648,90.3225806451613,93.23308270676692,83.87096774193549,74.64788732394366,79.16666666666667,86.53846153846153,62.745098039215684,70.0,61.61616161616162,78.94736842105263,88.43283582089552,85.62091503267973,87.82051282051282,65.35087719298245,75.90361445783132,82.07070707070707,47.36842105263158,74.36440677966101,82.28571428571429,76.9062601738169,76.1969904240766
2025-05-16,79.85074626865672,67.56756756756756,97.61904761904762,75.0,70.28985507246377,90.52631578947368,64.12213740458016,74.80314960629921,55.33980582524272,40.65040650406504,61.904761904761905,82.79158699808795,90.3225806451613,85.71428571428571,77.41935483870968,64.78873239436619,70.83333333333333,80.76923076923077,43.13725490196079,59.23076923076923,47.474747474747474,78.94736842105263,88.43283582089552,78.43137254901961,78.2051282051282,64.25438596491227,67.46987951807229,79.79797979797979,35.526315789473685,75.42372881355932,80.85714285714286,71.20973572903375,72.54250537424272
