time,aver,sum,交通运输I,休闲服务I,传媒I,公用事业I,农林牧渔I,化工I,医药生物I,商业贸易I,国防军工I,家用电器I,建筑材料I,建筑装饰I,房地产I,有色金属I,机械设备I,汽车I,煤炭I,环保I,电子I,电气设备I,石油石化I,纺织服装I,综合I,美容护理I,计算机I,轻工制造I,通信I,采掘I,钢铁I,银行I,非银金融I,食品饮料I
2025-03-28,28.65234375,31.81034006791022,45.96774193548387,36.8421052631579,23.076923076923077,52.27272727272727,38.613861386138616,40.050377833753146,47.89029535864979,17.0,17.391304347826086,37.89473684210526,28.169014084507044,22.29299363057325,25.49019607843137,36.2962962962963,22.137404580152673,26.865671641791046,59.45945945945946,35.82089552238806,13.596491228070175,20.571428571428573,45.833333333333336,31.73076923076923,20.0,32.25806451612903,5.654761904761905,30.065359477124183,7.086614173228346,,24.444444444444443,66.66666666666667,38.095238095238095,36.58536585365854
2025-03-27,40.21484375,46.1432251752339,66.93548387096774,55.26315789473684,20.76923076923077,75.0,57.42574257425743,71.03274559193954,55.69620253164557,30.0,24.63768115942029,42.10526315789474,50.70422535211268,32.48407643312102,31.372549019607842,45.925925925925924,33.01526717557252,32.46268656716418,94.5945945945946,50.74626865671642,18.20175438596491,28.571428571428573,68.75,54.80769230769231,50.0,54.83870967741935,6.845238095238095,39.869281045751634,11.811023622047244,,46.666666666666664,88.0952380952381,35.714285714285715,56.09756097560975
2025-03-26,43.26171875,50.094189703123014,75.80645161290323,63.1578947368421,22.307692307692307,85.60606060606061,68.31683168316832,66.49874055415617,42.61603375527426,27.0,34.78260869565217,44.21052631578947,61.971830985915496,44.5859872611465,40.19607843137255,56.2962962962963,42.74809160305343,47.014925373134325,94.5945945945946,59.701492537313435,13.37719298245614,45.142857142857146,70.83333333333333,52.88461538461539,55.0,48.38709677419355,7.738095238095238,37.908496732026144,12.598425196850394,,73.33333333333333,85.71428571428571,23.80952380952381,48.78048780487805
2025-03-25,35.99609375,43.439088666248985,65.3225806451613,60.526315789473685,17.692307692307693,84.0909090909091,57.42574257425743,52.39294710327456,34.81012658227848,16.0,31.159420289855074,34.73684210526316,42.25352112676056,39.49044585987261,22.54901960784314,57.77777777777778,33.969465648854964,31.71641791044776,94.5945945945946,52.23880597014925,10.526315789473685,34.285714285714285,60.416666666666664,38.46153846153846,35.0,48.38709677419355,6.845238095238095,31.372549019607842,12.598425196850394,,73.33333333333333,95.23809523809524,22.61904761904762,48.78048780487805
2025-03-24,36.2109375,43.728614892565886,60.483870967741936,64.47368421052632,22.307692307692307,81.06060606060606,46.53465346534654,40.30226700251889,32.06751054852321,18.0,30.434782608695652,40.0,47.88732394366197,35.6687898089172,20.58823529411765,57.77777777777778,35.68702290076336,40.298507462686565,91.89189189189189,50.74626865671642,14.035087719298245,36.285714285714285,52.083333333333336,43.26923076923077,30.0,61.29032258064516,10.714285714285714,33.333333333333336,19.68503937007874,,75.55555555555556,90.47619047619048,21.428571428571427,51.21951219512195
2025-03-21,51.03515625,58.4391678839137,70.96774193548387,71.05263157894737,23.076923076923077,86.36363636363636,64.35643564356435,54.91183879093199,46.62447257383966,32.0,63.04347826086956,55.78947368421053,74.64788732394366,62.4203821656051,46.07843137254902,60.0,56.87022900763359,64.17910447761194,94.5945945945946,75.3731343283582,17.105263157894736,51.42857142857143,77.08333333333333,75.96153846153847,65.0,74.19354838709677,20.535714285714285,56.86274509803921,25.19685039370079,,77.77777777777777,76.19047619047619,30.952380952380953,60.97560975609756
2025-03-20,67.1875,72.13761317131213,79.03225806451613,75.0,30.76923076923077,90.15151515151516,77.22772277227723,73.29974811083123,67.0886075949367,63.0,75.3623188405797,76.84210526315789,85.91549295774648,69.4267515923567,56.86274509803921,79.25925925925925,75.0,83.95522388059702,97.29729729729729,82.83582089552239,42.98245614035088,64.0,83.33333333333333,84.61538461538461,70.0,80.64516129032258,31.845238095238095,78.43137254901961,40.94488188976378,,75.55555555555556,95.23809523809524,69.04761904761905,81.30081300813008
2025-03-19,71.07421875,75.02455688644743,85.48387096774194,81.57894736842105,41.53846153846154,90.9090909090909,77.22772277227723,79.34508816120906,75.9493670886076,69.0,73.18840579710145,81.05263157894737,83.09859154929578,70.70063694267516,55.88235294117647,83.70370370370371,74.04580152671755,84.32835820895522,94.5945945945946,87.31343283582089,46.92982456140351,72.0,79.16666666666667,84.61538461538461,70.0,87.09677419354838,39.88095238095238,77.77777777777777,42.51968503937008,,68.88888888888889,95.23809523809524,85.71428571428571,86.99186991869918
2025-03-18,77.32421875,80.74306874173227,82.25806451612904,85.52631578947368,57.69230769230769,86.36363636363636,80.1980198019802,84.38287153652394,79.11392405063292,82.0,86.23188405797102,87.36842105263158,90.14084507042253,77.70700636942675,65.68627450980392,89.62962962962963,78.81679389312977,83.95522388059702,94.5945945945946,89.55223880597015,61.18421052631579,78.85714285714286,89.58333333333333,88.46153846153847,80.0,93.54838709677419,49.70238095238095,83.66013071895425,61.41732283464567,,84.44444444444444,76.19047619047619,84.52380952380952,90.2439024390244
2025-03-17,75.625,80.72779890159391,79.03225806451613,85.52631578947368,58.46153846153846,90.15151515151516,82.17821782178218,81.61209068010075,75.10548523206751,82.0,89.85507246376811,87.36842105263158,90.14084507042253,76.43312101910828,69.6078431372549,91.11111111111111,72.70992366412214,79.85074626865672,100.0,89.55223880597015,59.21052631578947,71.71428571428571,85.41666666666667,89.42307692307692,80.0,93.54838709677419,49.70238095238095,83.66013071895425,57.48031496062992,,91.11111111111111,80.95238095238095,84.52380952380952,95.1219512195122
