,keyword,type,count
2011-01-11,恒生指数,all,510.000
2011-01-11,纳斯达克指数,all,254.000
2011-01-11,基金,all,6638.000
2011-01-11,熊市,all,197.000
2011-01-11,a股,all,659.000
2011-01-11,沪深300,all,537.000
2011-01-11,道琼斯指数,all,610.000
2011-01-12,熊市,all,200.000
2011-01-12,a股,all,673.000
2011-01-12,美股行情,all,707.000
2011-01-12,股票,all,24371.000
2011-01-12,创业板指,all,203.000
2011-01-12,中证500,all,313.000
2011-01-12,沪深300,all,527.000
2011-01-12,牛市,all,248.000
2011-01-12,上证50,all,228.000
2011-01-12,基金,all,6649.000
2011-01-12,港股,all,624.000
2011-01-12,道琼斯指数,all,588.000
2011-01-12,股市,all,2556.000
2011-01-12,上证,all,1232.000
2011-01-12,上证指数,all,20581.000
2011-01-12,恒生指数,all,450.000
2011-01-12,纳斯达克指数,all,235.000
2011-01-13,上证指数,all,19892.000
2011-01-13,股市,all,2557.000
2011-01-13,a股,all,599.000
2011-01-13,恒生指数,all,470.000
2011-01-13,股票,all,24487.000
2011-01-13,基金,all,6474.000
2011-01-13,熊市,all,242.000
2011-01-13,港股,all,642.000
2011-01-13,纳斯达克指数,all,208.000
2011-01-13,创业板指,all,201.000
2011-01-13,中证500,all,288.000
2011-01-13,道琼斯指数,all,583.000
2011-01-13,牛市,all,244.000
2011-01-13,上证,all,1283.000
2011-01-13,沪深300,all,503.000
2011-01-13,美股行情,all,723.000
2011-01-13,上证50,all,220.000
2011-01-14,恒生指数,all,393.000
2011-01-14,港股,all,646.000
2011-01-14,熊市,all,240.000
2011-01-14,基金,all,5900.000
2011-01-14,股票,all,24377.000
2011-01-14,上证指数,all,21004.000
2011-01-14,a股,all,675.000
2011-01-14,牛市,all,246.000
2011-01-14,纳斯达克指数,all,238.000
2011-01-14,道琼斯指数,all,580.000
2011-01-14,美股行情,all,627.000
2011-01-14,股市,all,2743.000
2011-01-14,沪深300,all,504.000
2011-01-14,中证500,all,295.000
2011-01-14,创业板指,all,177.000
2011-01-14,上证,all,1296.000
2011-01-14,上证50,all,195.000
2011-01-15,纳斯达克指数,all,171.000
2011-01-15,上证,all,459.000
2011-01-15,恒生指数,all,258.000
2011-01-15,股票,all,6899.000
2011-01-15,上证50,all,162.000
2011-01-15,股市,all,1660.000
2011-01-15,创业板指,all,124.000
2011-01-15,上证指数,all,2498.000
2011-01-15,中证500,all,139.000
2011-01-15,沪深300,all,248.000
2011-01-15,牛市,all,227.000
2011-01-15,道琼斯指数,all,388.000
2011-01-15,熊市,all,205.000
2011-01-15,港股,all,246.000
2011-01-15,a股,all,425.000
2011-01-15,基金,all,3622.000
2011-01-15,美股行情,all,376.000
2011-01-16,沪深300,all,242.000
2011-01-16,熊市,all,196.000
2011-01-16,恒生指数,all,247.000
2011-01-16,创业板指,all,61.000
2011-01-16,中证500,all,99.000
2011-01-16,上证指数,all,1678.000
2011-01-16,股票,all,6704.000
2011-01-16,上证,all,368.000
2011-01-16,上证50,all,142.000
2011-01-16,美股行情,all,251.000
2011-01-16,港股,all,285.000
2011-01-16,基金,all,3269.000
2011-01-16,a股,all,373.000
2011-01-16,纳斯达克指数,all,196.000
2011-01-16,股市,all,1567.000
2011-01-16,道琼斯指数,all,309.000
2011-01-16,牛市,all,224.000
2011-01-17,a股,all,907.000
2011-01-17,沪深300,all,604.000
2011-01-17,港股,all,623.000
2011-01-17,基金,all,6053.000
2011-01-17,股票,all,16139.000
2011-01-17,恒生指数,all,543.000
2011-01-17,牛市,all,244.000
2011-01-17,熊市,all,238.000
2011-01-17,上证,all,1597.000
2011-01-17,上证指数,all,25793.000
2011-01-17,道琼斯指数,all,497.000
2011-01-17,纳斯达克指数,all,237.000
2011-01-17,美股行情,all,555.000
2011-01-17,上证50,all,224.000
2011-01-17,创业板指,all,191.000
2011-01-17,中证500,all,304.000
2011-01-17,股市,all,3535.000
2011-01-18,纳斯达克指数,all,241.000
2011-01-18,基金,all,6280.000
2011-01-18,熊市,all,259.000
2011-01-18,上证,all,1417.000
2011-01-18,沪深300,all,602.000
2011-01-18,美股行情,all,639.000
2011-01-18,上证指数,all,24487.000
2011-01-18,股票,all,14664.000
2011-01-18,恒生指数,all,603.000
2011-01-18,中证500,all,342.000
2011-01-18,上证50,all,218.000
2011-01-18,创业板指,all,190.000
2011-01-18,道琼斯指数,all,679.000
2011-01-18,股市,all,2938.000
2011-01-18,牛市,all,254.000
2011-01-18,a股,all,782.000
2011-01-18,港股,all,621.000
2011-01-19,上证指数,all,21756.000
2011-01-19,港股,all,615.000
2011-01-19,牛市,all,211.000
2011-01-19,恒生指数,all,440.000
2011-01-19,上证,all,1346.000
2011-01-19,纳斯达克指数,all,217.000
2011-01-19,沪深300,all,573.000
2011-01-19,股票,all,14840.000
2011-01-19,基金,all,6304.000
2011-01-19,a股,all,717.000
2011-01-19,美股行情,all,645.000
2011-01-19,股市,all,2573.000
2011-01-19,创业板指,all,179.000
2011-01-19,中证500,all,315.000
2011-01-19,上证50,all,222.000
2011-01-19,道琼斯指数,all,592.000
2011-01-19,熊市,all,224.000
2011-01-20,股市,all,3312.000
2011-01-20,牛市,all,228.000
2011-01-20,美股行情,all,701.000
2011-01-20,恒生指数,all,504.000
2011-01-20,基金,all,6061.000
2011-01-20,上证,all,1402.000
2011-01-20,纳斯达克指数,all,288.000
2011-01-20,中证500,all,336.000
2011-01-20,上证指数,all,25850.000
2011-01-20,股票,all,15208.000
2011-01-20,熊市,all,256.000
2011-01-20,道琼斯指数,all,628.000
2011-01-20,沪深300,all,639.000
2011-01-20,上证50,all,227.000
2011-01-20,创业板指,all,166.000
2011-01-20,港股,all,616.000
2011-01-20,a股,all,775.000
2011-01-21,美股行情,all,571.000
2011-01-21,牛市,all,265.000
2011-01-21,基金,all,5709.000
2011-01-21,港股,all,557.000
2011-01-21,a股,all,637.000
2011-01-21,道琼斯指数,all,518.000
2011-01-21,上证指数,all,23550.000
2011-01-21,股票,all,14342.000
2011-01-21,股市,all,2763.000
2011-01-21,纳斯达克指数,all,230.000
2011-01-21,上证,all,1437.000
2011-01-21,中证500,all,275.000
2011-01-21,创业板指,all,174.000
2011-01-21,上证50,all,292.000
2011-01-21,沪深300,all,629.000
2011-01-21,熊市,all,270.000
2011-01-21,恒生指数,all,445.000
2011-01-22,美股行情,all,350.000
2011-01-22,中证500,all,89.000
2011-01-22,上证50,all,162.000
2011-01-22,创业板指,all,118.000
2011-01-22,沪深300,all,240.000
2011-01-22,基金,all,3506.000
2011-01-22,道琼斯指数,all,349.000
2011-01-22,熊市,all,165.000
2011-01-22,港股,all,267.000
2011-01-22,牛市,all,202.000
2011-01-22,股票,all,6749.000
2011-01-22,a股,all,358.000
2011-01-22,恒生指数,all,236.000
2011-01-22,股市,all,1783.000
2011-01-22,上证,all,474.000
2011-01-22,上证指数,all,2768.000
2011-01-22,纳斯达克指数,all,222.000
2011-01-23,上证,all,421.000
2011-01-23,股市,all,1760.000
2011-01-23,创业板指,all,63.000
2011-01-23,沪深300,all,255.000
2011-01-23,上证50,all,171.000
2011-01-23,股票,all,6637.000
2011-01-23,牛市,all,207.000
2011-01-23,熊市,all,205.000
2011-01-23,上证指数,all,1972.000
2011-01-23,港股,all,254.000
2011-01-23,恒生指数,all,236.000
2011-01-23,纳斯达克指数,all,162.000
2011-01-23,道琼斯指数,all,337.000
2011-01-23,基金,all,3167.000
2011-01-23,美股行情,all,249.000
2011-01-23,a股,all,354.000
2011-01-23,中证500,all,138.000
2011-01-24,基金,all,5440.000
2011-01-24,上证指数,all,22121.000
2011-01-24,上证,all,1370.000
2011-01-24,股票,all,13591.000
2011-01-24,牛市,all,230.000
2011-01-24,沪深300,all,530.000
2011-01-24,a股,all,645.000
2011-01-24,恒生指数,all,423.000
2011-01-24,港股,all,598.000
2011-01-24,创业板指,all,196.000
2011-01-24,中证500,all,299.000
2011-01-24,熊市,all,242.000
2011-01-24,上证50,all,227.000
2011-01-24,美股行情,all,420.000
2011-01-24,纳斯达克指数,all,233.000
2011-01-24,道琼斯指数,all,427.000
2011-01-24,股市,all,2728.000
2011-01-25,上证,all,1382.000
2011-01-25,上证指数,all,22016.000
2011-01-25,a股,all,660.000
2011-01-25,股市,all,2749.000
2011-01-25,熊市,all,239.000
2011-01-25,道琼斯指数,all,741.000
2011-01-25,纳斯达克指数,all,228.000
2011-01-25,牛市,all,215.000
2011-01-25,恒生指数,all,529.000
2011-01-25,中证500,all,308.000
2011-01-25,上证50,all,205.000
2011-01-25,创业板指,all,187.000
2011-01-25,股票,all,13300.000
2011-01-25,美股行情,all,622.000
2011-01-25,基金,all,5329.000
2011-01-25,沪深300,all,544.000
2011-01-25,港股,all,604.000
2011-01-26,基金,all,5272.000
2011-01-26,美股行情,all,557.000
2011-01-26,纳斯达克指数,all,239.000
2011-01-26,a股,all,603.000
2011-01-26,熊市,all,249.000
2011-01-26,股票,all,13131.000
2011-01-26,上证,all,1349.000
2011-01-26,恒生指数,all,502.000
2011-01-26,牛市,all,234.000
2011-01-26,上证指数,all,19768.000
2011-01-26,道琼斯指数,all,519.000
2011-01-26,上证50,all,205.000
2011-01-26,中证500,all,291.000
2011-01-26,创业板指,all,162.000
2011-01-26,股市,all,2704.000
2011-01-26,港股,all,500.000
2011-01-26,沪深300,all,544.000
2011-01-27,a股,all,624.000
2011-01-27,创业板指,all,165.000
2011-01-27,牛市,all,210.000
2011-01-27,股票,all,13641.000
2011-01-27,恒生指数,all,418.000
2011-01-27,熊市,all,210.000
2011-01-27,中证500,all,297.000
2011-01-27,股市,all,2958.000
2011-01-27,上证指数,all,20338.000
2011-01-27,沪深300,all,517.000
2011-01-27,基金,all,5762.000
2011-01-27,上证,all,1308.000
2011-01-27,港股,all,576.000
2011-01-27,道琼斯指数,all,520.000
2011-01-27,上证50,all,213.000
2011-01-27,纳斯达克指数,all,228.000
2011-01-27,美股行情,all,566.000
2011-01-28,恒生指数,all,380.000
2011-01-28,纳斯达克指数,all,220.000
2011-01-28,中证500,all,257.000
2011-01-28,创业板指,all,153.000
2011-01-28,上证50,all,198.000
2011-01-28,沪深300,all,467.000
2011-01-28,美股行情,all,503.000
2011-01-28,基金,all,5324.000
2011-01-28,道琼斯指数,all,483.000
2011-01-28,牛市,all,225.000
2011-01-28,上证指数,all,19059.000
2011-01-28,港股,all,467.000
2011-01-28,a股,all,605.000
2011-01-28,上证,all,1317.000
2011-01-28,股市,all,2748.000
2011-01-28,股票,all,13101.000
2011-01-28,熊市,all,228.000
2011-01-29,熊市,all,193.000
2011-01-29,a股,all,405.000
2011-01-29,港股,all,250.000
2011-01-29,沪深300,all,222.000
2011-01-29,中证500,all,125.000
2011-01-29,创业板指,all,61.000
2011-01-29,上证50,all,137.000
2011-01-29,恒生指数,all,214.000
2011-01-29,道琼斯指数,all,467.000
2011-01-29,股票,all,6754.000
2011-01-29,上证,all,514.000
2011-01-29,美股行情,all,431.000
2011-01-29,上证指数,all,2946.000
2011-01-29,股市,all,1846.000
2011-01-29,纳斯达克指数,all,208.000
2011-01-29,基金,all,3445.000
2011-01-29,牛市,all,175.000
2011-01-30,a股,all,441.000
2011-01-30,上证50,all,144.000
2011-01-30,中证500,all,80.000
2011-01-30,恒生指数,all,254.000
2011-01-30,美股行情,all,281.000
2011-01-30,基金,all,3295.000
2011-01-30,上证,all,504.000
2011-01-30,熊市,all,190.000
2011-01-30,股市,all,2008.000
2011-01-30,港股,all,271.000
2011-01-30,沪深300,all,252.000
2011-01-30,纳斯达克指数,all,209.000
2011-01-30,股票,all,7008.000
2011-01-30,上证指数,all,3445.000
2011-01-30,牛市,all,171.000
2011-01-30,道琼斯指数,all,383.000
2011-01-31,牛市,all,207.000
2011-01-31,港股,all,421.000
